UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;INTERNATIONAL BRAZ J UROL;SUPER-SELECTIVE ROBOT-ASSISTED PARTIAL NEPHRECTOMY USING NEAR-INFRARED FLURORESCENCE VERSUS EARLY-UNCLAMPING OF THE RENAL ARTERY: RESULTS OF A PROSPECTIVE MATCHED-PAIR ANALYSIS;"LANCHON, CECILIA; ARNOUX, VALENTIN; FIARD, GAELLE; DESCOTES, JEAN-LUC; RAMBEAUD, JEAN-JACQUES; LEFRANCQ, JEAN-BENJAMIN; PONCET, DELPHINE; TERRIER, NICOLAS; OVERS, CAMILLE; FRANQUET, QUENTIN; LONG, JEAN-ALEXANDRE";" GRENOBLE UNIV HOSP, DEPT UROL, GRENOBLE, FRANCE.; ";;
;DEMENTIA AND GERIATRIC COGNITIVE DISORDERS;C9ORF72 PROTEIN PLASMATIC CONCENTRATIONS ARE SIMILAR BETWEEN C9ORF72 EXPANSION CARRIERS AND NONCARRIERS IN FRONTOTEMPORAL DEMENTIA;SAUVEE, MATHILDE;" GRENOBLE UNIV HOSP, DEPT NEUROL, GRENOBLE, FRANCE.;";;
;EXPERT REVIEW OF MEDICAL DEVICES;COMPUTER ASSISTED SURGERY IN PREOPERATIVE PLANNING OF ACETABULAR FRACTURE SURGERY: STATE OF THE ART;COURVOISIER, AURELIEN;" JOSEPH FOURIER UNIV, NORTHERN HOSP, GRENOBLE UNIV HOSP, PEDIAT ORTHOPED, GRENOBLE, FRANCE.; ";;
;EXPERT REVIEW OF MEDICAL DEVICES;COMPUTER ASSISTED SURGERY IN PREOPERATIVE PLANNING OF ACETABULAR FRACTURE SURGERY: STATE OF THE ART;"BOUDISSA, MEHDI; CHABANAS, MATTHIEU; TONETTI, JEROME";" JOSEPH FOURIER UNIV, NORTHERN HOSP, GRENOBLE UNIV HOSP, ORTHOPED & TRAUMATOL SURG DEPT, GRENOBLE, FRANCE.;";;
;CANCER LETTERS;NUCLEAR TRANSLOCATION OF IGF1R BY INTRACELLULAR AMPHIREGULIN CONTRIBUTES TO THE RESISTANCE OF LUNG TUMOUR CELLS TO EGFR-TKI;"DAVID-BOUDET, LAURENCE; BUSSER, BENOIT; LANTUEJOUL, SYLVIE";" GRENOBLE UNIV HOSP, F-38000 GRENOBLE, FRANCE.;";;
;SURGERY FOR OBESITY AND RELATED DISEASES;RESPONSE TO \;;;;
;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;PROCESS AND ORGANISATION OF IN-HOSPITAL EMERGENCIES IN FRANCE;BOUZAT, PIERRE;" GRENOBLE ALPS UNIV, GRENOBLE UNIV HOSP, GRENOBLE ALPS TRAUMA CTR, F-38000 GRENOBLE, FRANCE.; ";;
;CIRCULATION;MULTICENTER ASSESSMENT OF WEARABLE CARDIOVERTER DEFIBRILLATOR USE IN PATIENTS AT RISK OF SUDDEN CARDIAC DEATH: FRANCE NATIONAL EXPERIENCE;DEFAYE, PASCAL;" GRENOBLE UNIV HOSP, CARDIOL, GRENOBLE, FRANCE.;";;
;SWISS MEDICAL WEEKLY;IMPACT OF NATURAL SLEEP, SEDATION AND HYPERCAPNIA ON PHYSIOLOGICAL VENTILATION VARIABILITY: AN EXPERIMENTAL STUDY;"BAYAT, S.;";" GRENOBLE UNIV HOSP, DEPT CLIN PHYSIOL SLEEP & EXERCISE, GRENOBLE, FRANCE.;";;
;ALLERGY;PLASMINOGEN GENE MUTATION WITH NORMAL C1 INHIBITOR HEREDITARY ANGIOEDEMA: THREE ADDITIONAL FRENCH FAMILIES;"BELBEZIER, AUDE; BOCCON-GIBOD, ISABELLE; BOUILLET, LAURENCE";" GRENOBLE UNIV HOSP, DEPT INTERNAL MED, GRENOBLE, FRANCE.; ";;
;ALLERGY;PLASMINOGEN GENE MUTATION WITH NORMAL C1 INHIBITOR HEREDITARY ANGIOEDEMA: THREE ADDITIONAL FRENCH FAMILIES;HARDY, GAELLE;" GRENOBLE UNIV HOSP, DEPT GENET BIOL, MOL GENET LAB, GRENOBLE, FRANCE.; ";;
;ALLERGY;PLASMINOGEN GENE MUTATION WITH NORMAL C1 INHIBITOR HEREDITARY ANGIOEDEMA: THREE ADDITIONAL FRENCH FAMILIES;MARLU, RAPHAEL;" GRENOBLE UNIV HOSP, LAB HEMOSTASIS, GRENOBLE, FRANCE.; ";;
;ALLERGY;PLASMINOGEN GENE MUTATION WITH NORMAL C1 INHIBITOR HEREDITARY ANGIOEDEMA: THREE ADDITIONAL FRENCH FAMILIES;"DEFENDI, FEDERICA; PERARD, CHANTAL DUMESTRE";" GRENOBLE UNIV HOSP, IMMUNOL LAB, GRENOBLE, FRANCE.; ";;
;HEPATOLOGY;THE NEW FIBROMETER(VCTE) OUTPERFORMS RECOMMENDED LIVER FIBROSIS TESTS IN NAFLD;BARTHELON, JUSTINE;" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY;EFFICACY OF C1 INHIBITOR CONCENTRATE IN HEREDITARY ANGIOEDEMA WITH C1 INHIBITOR DEFICIENCY ANALYSIS IN A FRENCH COHORT;"BELBEZIER, AUDE; BOCCON-GIBOD, ISABELLE; BOUILLET, LAURENCE";" GRENOBLE UNIV HOSP, DEPT INTERNAL MED, GRENOBLE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;THE EFFECTS OF VARIABLE VENTILATION PATTERNS IN AN ANIMAL MODEL OF ARDS;BAYAT, SAM;" GRENOBLE UNIV HOSP, DEPT CLIN PHYSIOL SLEEP & EXERCISE, GRENOBLE, FRANCE.;";;
;EUROPEAN RESPIRATORY JOURNAL;IMPACT OF NATURAL SLEEP, SEDATION AND HYPERCAPNIA ON PHYSIOLOGICAL VENTILATION VARIABILITY: AN EXPERIMENTAL STUDY;BAYAT, SAM;" GRENOBLE UNIV HOSP, DEPT CLIN PHYSIOL SLEEP & EXERCISE, GRENOBLE, FRANCE.;";;
;ARTHRITIS & RHEUMATOLOGY;IMPACT OF A NURSE-LED PROGRAM OF PATIENT SELF-ASSESSMENT AND SELF-MANAGEMENT AXIAL SPONDYLOARTHRITIS: RESULTS OF A PROSPECTIVE, MULTICENTRE, RANDOMIZED, CONTROLLED TRIAL;GAUDIN, PHILIPPE;" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;ARTHRITIS & RHEUMATOLOGY;SYSTEMATIC SCREENING OF COMORBIDITIES IMPROVES VACCINATION RATES, SKIN CANCER SCREENING AND VITAMIN D SUPPLEMENTATION IN PATIENTS WITH AXIAL SPONDYLOARTHRITIS: RESULTS OF A PROSPECTIVE, CONTROLLED, ONE YEAR RANDOMISED TRIAL;GAUDIN, PHILIPPE;" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;JOURNAL OF SLEEP RESEARCH;HYPERTENSION CONTROL IN OSA - DATA FROM THE EUROPEAN SLEEP APNEA DATABASE;"PEPIN, J.; -L.;";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;BONE MARROW TRANSPLANTATION;REDUCED RELAPSE INCIDENCE WITH FLAMSA-TBI IN COMPARISON TO BU/FLU IN AML PATIENTS TRANSPLANTED IN CR1 OR CR2: ON BEHALF OF THE ALWP OF THE EBMT;CAHN, JEAN YVES;" GRENOBLE UNIV HOSP, CLIN HEMATOL, GRENOBLE, FRANCE.; ";;
;BONE MARROW TRANSPLANTATION;HAPLOIDENTICAL HEMATOPOIETIC STEM CELL TRANSPLANTATION EXPERIENCE IN CHILDREN IN FRANCE: A RETROSPECTIVE STUDY FROM THE SFGM-TC;"FREYCON, CLAIRE; PLANTAZ, DOMINIQUE";" GRENOBLE UNIV HOSP, DEPT PEDIAT ONCOHEMATOL, GRENOBLE, FRANCE.; ";;
;SWISS MEDICAL WEEKLY;EARLY VERSUS LATE ADMINISTRATION OF ICATIBANT IN PATIENTS WITH HEREDITARY ANGIOEDEMA;"BOUILLET, L.;";" GRENOBLE UNIV HOSP, DEPT INTERNAL MED, NATL REFERENCE CTR ANGIOEDEMA, GRENOBLE, FRANCE.; ";;
;ALLERGY;BRADYKININ MECHANISM IS THE MAIN RESPONSIBLE FOR DEATH BY ASPHYXIATING ANGIOEDEMA IN FRANCE;"CROCHET, J.;; VERMOREL, C.;";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.;";;
;ALLERGY;EARLY VS LATE ADMINISTRATION OF ICATIBANT IN PATIENTS WITH HEREDITARY ANGIOEDEMA;"BOUILLET, L.;";" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;INTENSIVE CARE MEDICINE;RELATIVE RISK AND POPULATION-ATTRIBUTABLE FRACTION OF ICU DEATH CAUSED BY SUSCEPTIBLE AND RESISTANT PSEUDOMONAS AERUGINOSA VENTILATOR-ASSOCIATED PNEUMONIA: A COMPETING RISKS APPROACH TO INVESTIGATE THE OUTCOMEREA DATABASE;SCHWEBEL, CAROLE;" GRENOBLE 1 UNIV, GRENOBLE UNIV HOSP, MED INTENS CARE UNIT, U823, LA TRONCHE, FRANCE.; ";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: CMV AND BKV INFECTIONS OVER THE FIRST 6 MONTHS POST-TRANSPLANT;"JOUVE, THOMAS; NOBLE, JOHAN; JANBON, BENEDICTE; MALVEZZI, PAOLO; ROSTAING, LIONEL";" GRENOBLE UNIV HOSP, NEPHROL DIALYSIS APHERESIS & TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: CMV AND BKV INFECTIONS OVER THE FIRST 6 MONTHS POST-TRANSPLANT;FIARD, GAELLE;" GRENOBLE UNIV HOSP, UROL & KIDNEY TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: CMV AND BKV INFECTIONS OVER THE FIRST 6 MONTHS POST-TRANSPLANT;GERMI, RAPHAELE;" GRENOBLE UNIV HOSP, DEPT VIROL, GRENOBLE, FRANCE.;";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: PHARMACOKINETIC EVALUATION;"JOUVE, THOMAS; NOBLE, JOHAN; JANBON, BENEDICTE; MALVEZZI, PAOLO; ROSTAING, LIONEL";" GRENOBLE UNIV HOSP, NEPHROL DIALYSIS APHERESIS & TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: PHARMACOKINETIC EVALUATION;FIARD, GAELLE;" GRENOBLE UNIV HOSP, UROL & KIDNEY TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;THE MADELEINE (COMBINED TACROLIMUS AND EVEROLIMUS EARLY IMMUNOSUPPRESSION) STUDY: PHARMACOKINETIC EVALUATION;FONROSE, XAVIER;" GRENOBLE UNIV HOSP, PHARMACOL DEPT, GRENOBLE, FRANCE.; ";;
;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE;DRUG-INDUCED ASEPTIC MENINGITIS: A POSSIBLE T-CELL-EMEDIATED HYPERSENSITIVITY;PRALONG, PAULINE;" GRENOBLE UNIV HOSP, DERMATOL DEPT, GRENOBLE, FRANCE.; ";;
;FUNDAMENTAL & CLINICAL PHARMACOLOGY;SGLT-2 INHIBITORS AND THE RISK OF LOWER-LIMB AMPUTATION: IS THIS A CLASS EFFECT?;"ROUSTIT, M.;; CRACOWSKI, J.; L.;";" GRENOBLE UNIV HOSP, CLIN PHARMACOL DEPT, INSERM, CIC1406, GRENOBLE, FRANCE.;";;
;AMERICAN JOURNAL OF TRANSPLANTATION;CMV AND BKV INFECTIONS AFTER KIDNEY TRANSPLANTATION: COMBINED TACROLIMUS/EVEROLIMUS STRATEGY USING ANTITHYMOCYTE GLOBULIN INDUCTION.;"JOUVE, T.;; JANBON, B.;; MALVEZZI, P.;; ROSTAING, L.;";" GRENOBLE UNIV HOSP, NEPHROL, DIALYSIS, APHERESIS,TRANSPLANTAT UNIT, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF TRANSPLANTATION;CMV AND BKV INFECTIONS AFTER KIDNEY TRANSPLANTATION: COMBINED TACROLIMUS/EVEROLIMUS STRATEGY USING ANTITHYMOCYTE GLOBULIN INDUCTION.;"GERMI, R.;";" GRENOBLE UNIV HOSP, VIROL UNIT, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF TRANSPLANTATION;CMV AND BKV INFECTIONS AFTER KIDNEY TRANSPLANTATION: COMBINED TACROLIMUS/EVEROLIMUS STRATEGY USING ANTITHYMOCYTE GLOBULIN INDUCTION.;"FIARD, G.;";" GRENOBLE UNIV HOSP, UROL UNIT, GRENOBLE, FRANCE.; ";;
;THORAX;INCORPORATING POLYSOMNOGRAPHY INTO OBSTRUCTIVE SLEEP APNOEA PHENOTYPING: MOVING TOWARDS PERSONALISED MEDICINE FOR OSA;"PEPIN, JEAN LOUIS; BAILLY, SEBASTIEN; TAMISIER, RENAUD";" GRENOBLE UNIV HOSP, THORAX & VESSELS DIV, GRENOBLE, FRANCE.;";;
;PLASTIC AND RECONSTRUCTIVE SURGERY;RADIATION THERAPY WILL ALWAYS ALTER SKIN IN BREAST CANCER TREATMENT;VERRY, CAMILLE;" GRENOBLE UNIV HOSP, RADIOTHERAPY DEPT, GRENOBLE, FRANCE.;";;
;MULTIPLE SCLEROSIS JOURNAL;AEROBIC TRAINING AS SUBSTRATE FOR NEURAL PLASTIC CHANGES IN MULTIPLE SCLEROSIS;VERGES, SAMUEL;" GRENOBLE UNIV HOSP, NATL INST HLTH & MED RES, GRENOBLE, FRANCE.;";;
;JOURNAL OF HEPATOLOGY;ESTIMATED RISK REDUCTION OF MORTALITY AND TRANSPLANTATION WITH BEZAFIBRATE IN PATIENTS WITH PBC AND INADEQUATE RESPONSE TO UDCA: APPLICATION OF THE UK-PBC AND GLOBAL PBC RISK SCORES TO THE BEZURSO TRIAL;"ZARSKI, J.; -P.;";" GRENOBLE UNIV HOSP, HEPATOL, GRENOBLE, FRANCE.; ";;
;EUROPEAN PSYCHIATRY;E-PSYCHIATRY IN FRANCE;"MIRCEA, R.;";" GRENOBLE UNIV HOSP, PSYCHIAT, GRENOBLE, FRANCE.; ";;
;EUROPEAN PSYCHIATRY;FRENCH PSYCHIATRY RESIDENCY TRAINING REFORM: WILL THE PHOENIX RAISE FROM THE ASHES?;"PELLUET, A.;";" GRENOBLE UNIV HOSP, PSYCHIAT, GRENOBLE, FRANCE.; ";;
;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY;CHARACTERIZATION OF HEREDITARY ANGIOEDEMA ATTACKS REQUIRING REINJECTION OF ICATIBANT: FINDINGS FROM THE ICATIBANT OUTCOME SURVEY;BOUILLET, LAURENCE;" GRENOBLE UNIV HOSP, GRENOBLE, FRANCE.; ";;
;INTENSIVE CARE MEDICINE;THE CVC AND CRBSI: DON'T USE IT AND LOSE IT!;"SCHWEBEL, C.;";" GRENOBLE UNIV HOSP, MED INTENS CARE UNIT, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;HIGH-RESOLUTION TIME-RESOLVED PHASE-CONTRAST SYNCHROTRON CT FOR MAPPING CARDIAC-INDUCED LUNG MOTION;"BAYAT, S.;";" GRENOBLE UNIV HOSP, CLIN PHYSIOL SOMMEIL & EXERCICE, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;HIGH-RESOLUTION TIME-RESOLVED PHASE-CONTRAST SYNCHROTRON CT FOR MAPPING CARDIAC-INDUCED LUNG MOTION;"BAYAT, S.;";" GRENOBLE UNIV HOSP, RSRM EA 7442, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;SPATIAL DISTRIBUTION OF VENTILATOR INDUCED LUNG INJURY AT THE MU M-SCALE. AN IN-VIVO SYNCHROTRON PHASE-CONTRAST MICROSCOPY STUDY IN BALB/C MICE;"BAYAT, S.;";" GRENOBLE UNIV HOSP CTR, DEPT CLIN PHYSIOL, GRENOBLE, FRANCE.;";;
;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;EFFECTIVENESS OF MULTIMODAL REMOTE PATIENT MONITORING AT CPAP INITIATION IN OBSTRUCTIVE SLEEP APNEA (OSA) WITH HIGH CARDIOVASCULAR RISK: A RANDOMIZED TRIAL;"PEPIN, J.;; BENMERAD, M.;; BAILLY, S.;; JULLIAN-DESAYES, I.;; JOYEUX-FAURE, M.;";" GRENOBLE UNIV HOSP, ADTSAS, GRENOBLE, FRANCE.; ";;
;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;EFFECT OF CUSTOM MADE VS THERMOPLASTIC HEAT-MOLDED MANDIBULAR ADVANCEMENT DEVICES (MADS) FOR OBSTRUCTIVE SLEEP APNEA (OSA): A RANDOMIZED NON-INFERIORITY TRIAL;"PEPIN, J.;";" GRENOBLE UNIV HOSP, ADTSAS, GRENOBLE, FRANCE.; ";;
;LIVER TRANSPLANTATION;DE NOVO MALIGNANCIES SCREENING AFTER LIVER TRANSPLANTATION FOR ALCOHOLIC LIVER DISEASE: A COMPARATIVE OPPORTUNISTIC STUDY;"RENAUD, LAURENCE; HILLERET, MARIE-NOELLE; DECAENS, THOMAS; LEROY, VINCENT";" CTR HOSP UNIV GRENOBLE, HOP A MICHALLON, SERV HEPATOGASTROENTEROL, LA TRONCHE, FRANCE.; ";;
;LIVER TRANSPLANTATION;DE NOVO MALIGNANCIES SCREENING AFTER LIVER TRANSPLANTATION FOR ALCOHOLIC LIVER DISEASE: A COMPARATIVE OPPORTUNISTIC STUDY;ARBIB, FRANCOIS;" CTR HOSP UNIV GRENOBLE, HOP A MICHALLON, SERV PNEUMOL, LA TRONCHE, FRANCE.; ";;
;LIVER TRANSPLANTATION;DE NOVO MALIGNANCIES SCREENING AFTER LIVER TRANSPLANTATION FOR ALCOHOLIC LIVER DISEASE: A COMPARATIVE OPPORTUNISTIC STUDY;"FERRETTI, GILBERT; JANKOWSKI, ADRIEN";" CTR HOSP UNIV GRENOBLE, HOP A MICHALLON, SERV RADIOL & IMAGERIE MED, LA TRONCHE, FRANCE.; ";;
;GASTROENTEROLOGY;INCIDENCE OF HEPATOCELLULAR CARCINOMA AFTER DIRECT ANTIVIRAL THERAPY FOR HCV IN PATIENTS WITH CIRRHOSIS INCLUDED IN SURVEILLANCE PROGRAMS;ZARSKI, JEAN-PIERRE;" HOP MICHALLON, SERV HEPATOL, GRENOBLE, FRANCE.; ";;
;JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY;THE LEARNING CURVE ASSOCIATED WITH THE IMPLANTATION OF THE NANOSTIM LEADLESS PACEMAKER;DEFAYE, PASCAL;" CHRU ALBERT MICHALLON, GRENOBLE, FRANCE.; ";;
;INSIGHTS INTO IMAGING;FACET JOINT SYNDROME: FROM DIAGNOSIS TO INTERVENTIONAL MANAGEMENT;"PEROLAT, ROMAIN; KASTLER, ADRIAN; TAHON, FLORENCE; ATTYE, ARNAUD; HECK, OLIVIER; BOUBAGRA, KAMEL; GRAND, SYLVIE; KRAINIK, ALEXANDRE";" CTR HOSP UNIV A MICHALLON, CLIN UNIV NEURORADIOL, GRENOBLE, FRANCE.; ";;
;INSIGHTS INTO IMAGING;FACET JOINT SYNDROME: FROM DIAGNOSIS TO INTERVENTIONAL MANAGEMENT;PEROLAT, ROMAIN;" CTR HOSP UNIV A MICHALLON, CLIN UNIV RADIOL & IMAGERIE MED, BP 217, F-38043 GRENOBLE 9, FRANCE.; ";;
;INSIGHTS INTO IMAGING;FACET JOINT SYNDROME: FROM DIAGNOSIS TO INTERVENTIONAL MANAGEMENT;NICOT, BENJAMIN;" CTR HOSP UNIV A MICHALLON, SERV NEUROCHIRURG, GRENOBLE, FRANCE.; ";;
;INFECTION;DIABETES WAS THE ONLY COMORBID CONDITION ASSOCIATED WITH MORTALITY OF INVASIVE PNEUMOCOCCAL INFECTION IN ICU PATIENTS: A MULTICENTER OBSERVATIONAL STUDY FROM THE OUTCOMEREA RESEARCH GROUP;SCHWEBEL, CAROLE;" ALBERT MICHALLON HOSP, MED INTENS CARE UNIT, GRENOBLE, FRANCE.; ";;
;HEPATOLOGY;EXTRAHEPATIC CANCERS ARE THE LEADING CAUSE OF DEATH IN PATIENTS ACHIEVING HEPATITIS B VIRUS CONTROL OR HEPATITIS C VIRUS ERADICATION;ZARSKI, JEAN-PIERRE;" CTR HOSP UNIV MICHALLON, SERV HEPATOL, GRENOBLE, FRANCE.; ";;
;EUROPEAN CYTOKINE NETWORK;ELEVATED ADIPONECTIN AND STNFRII SERUM LEVELS CAN PREDICT PROGRESSION TO HEPATOCELLULAR CARCINOMA IN PATIENTS WITH COMPENSATED HCV1 CIRRHOSIS;"ZARSKI, JEAN-PIERRE; LEROY, VINCENT";" HOP MICHALLON, SERV HEPATOL, GRENOBLE, FRANCE.; ";;
;GASTROENTEROLOGY;COMPLIANCE WITH HEPATOCELLULAR CARCINOMA SURVEILLANCE GUIDELINES ASSOCIATED WITH INCREASED LEAD-TIME ADJUSTED SURVIVAL OF PATIENTS WITH COMPENSATED VIRAL CIRRHOSIS: A MULTI-CENTER COHORT STUDY;ZARSKI, JEAN-PIERRE;" HOP MICHALLON, SERV HEPATOL, GRENOBLE, FRANCE.; ";;
;SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION & EMERGENCY MEDICINE;MODELLING THE ASSOCIATION BETWEEN FIBRINOGEN CONCENTRATION ON ADMISSION AND MORTALITY IN PATIENTS WITH MASSIVE TRANSFUSION AFTER SEVERE TRAUMA: AN ANALYSIS OF A LARGE REGIONAL DATABASE;BOUZAT, PIERRE;" HOP ALBERT MICHALLON, POLE ANESTHESIE REANIMAT, F-38043 GRENOBLE, BP, FRANCE.;";;
;TECHNIQUES IN COLOPROCTOLOGY;LAPAROSCOPIC DELAYED COLOANAL ANASTOMOSIS WITHOUT DIVERTING ILEOSTOMY FOR LOW RECTAL CANCER SURGERY: 85 CONSECUTIVE PATIENTS FROM A SINGLE INSTITUTION;"SAGE, P.; -Y.;; TRILLING, B.;; WAROQUET, P.; -A.;; VOIRIN, D.;; GIRARD, E.;; FAUCHERON, J.; -L.;";" MICHALLON UNIV HOSP, DEPT SURG, COLORECTAL UNIT, GRENOBLE, FRANCE.; ";;
;NEW ENGLAND JOURNAL OF MEDICINE;A PLACEBO-CONTROLLED TRIAL OF BEZAFIBRATE IN PRIMARY BILIARY CHOLANGITIS;"ZARSKI, J.; -P.;";" MICHALLON UNIV HOSP, HEPATOL & GASTROENTEROL DEPT, GRENOBLE, FRANCE.; ";;
;HEART RHYTHM;CLINICAL IMPACT OF AN ADDITIONAL LEFT VENTRICULAR LEAD IN CARDIAC RESYNCHRONIZATION THERAPY NONRESPONDERS: THE V-3 TRIAL;DEFAYE, PASCAL;" MICHALLON UNIV HOSP, GRENOBLE, FRANCE.; ";;
;TRANSLATIONAL LUNG CANCER RESEARCH;GENOME-WIDE COPY NUMBER ANALYSES OF SAMPLES FROM LACE-BIO PROJECT IDENTIFY NOVEL PROGNOSTIC AND PREDICTIVE MARKERS IN EARLY STAGE NON-SMALL CELL LUNG CANCER;BRAMBILLA, ELISABETH;" HOP ALBERT MICHALLON, INST ALBERT BONNIOT, DEPT PATHOL, GRENOBLE, FRANCE.; ";;
;JAMA INTERNAL MEDICINE;EFFECT OF SYSTEMATIC PHYSICIAN CROSS-CHECKING ON REDUCING ADVERSE EVENTS IN THE EMERGENCY DEPARTMENT THE CHARMED CLUSTER RANDOMIZED TRIAL;MAIGNAN, MAXIME;" UNIV GRENOBLE ALPS, HOP MICHALLON, EMERGENCY DEPT, GRENOBLE, FRANCE.; ";;
;INTENSIVE CARE MEDICINE;INFECTION-RELATED VENTILATOR-ASSOCIATED COMPLICATIONS IN ICU PATIENTS COLONISED WITH EXTENDED-SPECTRUM BETA-LACTAMASE-PRODUCING ENTEROBACTERIACEAE;SCHWEBEL, CAROLE;" ALBERT MICHALLON UNIV HOSP, MED ICU, GRENOBLE, FRANCE.; ";;
;ELECTROCHIMICA ACTA;REMOTE WIRELESS CONTROL OF AN ENZYMATIC BIOFUEL CELL IMPLANTED IN A RABBIT FOR 2 MONTHS;BOUTONNAT, JEAN;" CTR HOSP UNIV ALBERT MICHALLON, LAB CYTOL BIOCHEM & CYTOPATHOL, BP 217X, F-38043 LA TRONCHE 9, FRANCE.;";;
;BONE MARROW TRANSPLANTATION;IMPACT OF ANTITHYMOCYTE GLOBULIN DOSES IN REDUCED INTENSITY CONDITIONING BEFORE ALLOGENEIC TRANSPLANTATION FROM MATCHED SIBLING DONOR FOR PATIENTS WITH ACUTE MYELOID LEUKEMIA: A REPORT FROM THE ACUTE LEUKEMIA WORKING PARTY OF EUROPEAN GROUP OF BONE MARROW TRANSPLANTATION;CAHN, JEAN-YVES;" UNIV HOSP A MICHALLON, DEPT HEMATOL, GRENOBLE, FRANCE.; ";;
;MEDICINE;PREDICTIVE FACTORS FOR CLINICALLY SIGNIFICANT PHARMACIST INTERVENTIONS AT HOSPITAL ADMISSION;BEDOUCH, PIERRICK;" HOP MICHALLON, UNIV HOSP GRENOBLE, DEPT PHARM, GRENOBLE, FRANCE.; ";;
;EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY;EFFICACY OF DACLATASVIR-BASED QUADRUPLE THERAPY IN NONRESPONDER PATIENTS INFECTED BY HEPATITIS C VIRUS GENOTYPE 4: THE ANRS HC32 QUATTRO STUDY;LEROY, VINCENT;" ALBERT MICHALLON HOSP, HEPATOL DEPT, GRENOBLE, FRANCE.; ";;
;DIGESTIVE AND LIVER DISEASE;EVALUATING BEVACIZUMAB IN COMBINATION WITH FOLFIRI AFTER THE FAILURE OF PLATINUM-ETOPOSIDE REGIMEN IN PATIENTS WITH ADVANCED POORLY DIFFERENTIATED NEUROENDOCRINE CARCINOMA: THE PRODIGE 41-BEVANEC RANDOMIZED PHASE II STUDY;GRANGER, VICTOIRE;" UNIV HOSP GRENOBLE, MICHALLON HOSP, HEPATOGASTROENTEROL DEPT, GRENOBLE, FRANCE.; ";;
;ANTIVIRAL THERAPY;BASELINE AND POST-TREATMENT HEPATITIS C NS5A RESISTANCE IN RELAPSED PATIENTS FROM A MULTICENTRIC REAL-LIFE COHORT;LEROY, VINCENT;" HOP MICHALLON, GRENOBLE, FRANCE.; ";;
;PEDIATRIC BLOOD & CANCER;NEONATAL SUPRARENAL MASSES: AN OBSERVATIONAL APPROACH;"PLANTAZ, D.;";" HOP MICHALLON, DEPT PEDIAT, GRENOBLE, FRANCE.; ";;
;ANNALS OF ONCOLOGY;VEMURAFENIB IN PATIENTS (PTS) HARBORING BRAF V600 MUTATION: RESULTS OF NON-SMALL CELL LUNG CANCER (NSCLC) COHORT FROM THE ACSE TRIAL;"FERRETTI, G.;";" HOSP MICHALLON, RADIOL, GRENOBLE, FRANCE.; ";;
